ID,lat_coord,long_coord,elevation(ft),sample_ID,collect_date,desert,site_id,full_coord,latitude,longitude,county,state,permit,gps_flag
89,33.23941276408732,-116.39377196319401,214.60000610351562,109,2026-05-16T00:00:00Z,sonoran,anza_reserve,"N 33.239413, W 116.393772",N,W,San_Diego,CA,steele-burnand,NA
90,33.239357359707355,-116.39389375224708,218,110,2026-05-16T00:00:00Z,sonoran,anza_reserve,"N 33.239357, W 116.393894",N,W,San_Diego,CA,steele-burnand,NA
91,33.23930522426963,-116.39407404698431,216,111,2026-05-17T00:00:00Z,sonoran,anza_reserve,"N 33.239305, W 116.394074",N,W,San_Diego,CA,steele-burnand,NA
92,33.1071237847209,-116.42787440679967,695.79998779296875,112,2026-05-17T00:00:00Z,sonoran,plum_canyon,"N 33.107124, W 116.427874",N,W,San_Diego,CA,ca-sp,NA
93,33.1069615110755,-116.42795177176595,697.5999755859375,113,2026-05-17T00:00:00Z,sonoran,plum_canyon,"N 33.106962, W 116.427952",N,W,San_Diego,CA,ca-sp,NA
94,33.10687316581607,-116.42799611203372,704,114,2026-05-17T00:00:00Z,sonoran,plum_canyon,"N 33.106873, W 116.427996",N,W,San_Diego,CA,ca-sp,NA
95,33.106629839167,-116.42807356081904,708.4000244140625,115,2026-05-17T00:00:00Z,sonoran,plum_canyon,"N 33.106630, W 116.428074",N,W,San_Diego,CA,ca-sp,NA
96,33.10653554275632,-116.42790625803173,708.5999755859375,116,2026-05-17T00:00:00Z,sonoran,plum_canyon,"N 33.106536, W 116.427906",N,W,San_Diego,CA,ca-sp,NA
97,33.10636689886451,-116.42807842232287,711.5999755859375,117,2026-05-17T00:00:00Z,sonoran,plum_canyon,"N 33.106367, W 116.428078",N,W,San_Diego,CA,ca-sp,NA
98,33.10618132352829,-116.42799728550018,716.20001220703125,118,2026-05-17T00:00:00Z,sonoran,plum_canyon,"N 33.106181, W 116.427997",N,W,San_Diego,CA,ca-sp,NA
99,33.105795504525304,-116.42773685976863,719.5999755859375,119,2026-05-17T00:00:00Z,sonoran,plum_canyon,"N 33.105796, W 116.427737",N,W,San_Diego,CA,ca-sp,NA
100,33.1056559458375,-116.42783434130251,719.20001220703125,120,2026-05-17T00:00:00Z,sonoran,plum_canyon,"N 33.105656, W 116.427834",N,W,San_Diego,CA,ca-sp,NA
